City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,Karratha,-20.7377,116.8463,86.92,61,99,9.35,AU,2022-03-31 01:23:30
250,Neiafu,-18.65,-173.9833,84.88,79,75,9.22,TO,2022-03-31 01:25:59
251,Belaya Gora,68.5333,146.4167,-2.47,91,87,2.42,RU,2022-03-31 01:26:00
252,Windhoek,-22.5594,17.0832,64.6,82,95,4.61,NA,2022-03-31 01:26:00
253,Ilulissat,69.2167,-51.1,19.42,93,100,5.75,GL,2022-03-31 01:26:01
254,Waingapu,-9.6567,120.2641,82.06,74,63,4.7,ID,2022-03-31 01:26:01
255,Udachnyy,66.4167,112.4,21.45,67,100,6.51,RU,2022-03-31 01:26:01
256,Lasa,46.6166,10.7002,43.02,97,100,2.82,IT,2022-03-31 01:26:02
257,Sao Filipe,14.8961,-24.4956,71.11,76,8,14.05,CV,2022-03-31 01:26:02
258,Buala,-8.145,159.5921,84.15,76,100,2.13,SB,2022-03-31 01:23:40
259,Kununurra,-15.7667,128.7333,89.58,62,60,4.61,AU,2022-03-31 01:26:03
260,Barinas,8.6226,-70.2075,87.84,45,96,4.61,VE,2022-03-31 01:26:03
261,Ambon,-3.6954,128.1814,86.14,74,40,9.22,ID,2022-03-31 01:26:03
262,Lompoc,34.6391,-120.4579,64.78,79,100,21.85,US,2022-03-31 01:26:04
263,Chernyshevskiy,63.0128,112.4714,20.07,94,100,8.23,RU,2022-03-31 01:26:04
264,Camapua,-19.5314,-54.0439,72.3,88,1,2.28,BR,2022-03-31 01:26:05
265,Lyuban,52.7985,28.0048,35.47,98,100,6.6,BY,2022-03-31 01:26:05
266,Hithadhoo,-0.6,73.0833,82.36,70,9,5.97,MV,2022-03-31 01:26:05
267,Benavente,42.0025,-5.6783,38.3,80,85,6.53,ES,2022-03-31 01:26:06
268,Kunming,25.0389,102.7183,53.53,94,75,15.66,CN,2022-03-31 01:26:06
269,Cairns,-16.9167,145.7667,92.1,48,100,3.44,AU,2022-03-31 01:26:07
270,Fernie,49.5,-115.0687,44.69,77,100,9.8,CA,2022-03-31 01:26:07
271,Berlevag,70.8578,29.0864,24.6,71,100,18.84,NO,2022-03-31 01:23:32
272,Hasaki,35.7333,140.8333,68.4,74,4,16.89,JP,2022-03-31 01:23:11
273,Macon,39.8667,-88.9668,57.25,100,100,3.44,US,2022-03-31 01:26:08
274,Christchurch,-43.5333,172.6333,70.32,81,100,17.27,NZ,2022-03-31 01:22:24
275,Auxerre,47.8,3.5667,45.63,91,99,4.47,FR,2022-03-31 01:26:09
276,Salalah,17.0151,54.0924,73.49,60,0,2.3,OM,2022-03-31 01:26:09
277,Te Anau,-45.4167,167.7167,68.88,51,100,3.65,NZ,2022-03-31 01:26:10
278,Morant Bay,17.8815,-76.4093,82.02,84,10,8.16,JM,2022-03-31 01:27:10
279,Sao Cristovao,-11.0147,-37.2064,82.31,74,20,9.22,BR,2022-03-31 01:22:45
280,Yumen,40.2833,97.2,39.13,42,6,7.47,CN,2022-03-31 01:27:11
281,Port Elizabeth,-33.918,25.5701,63.32,74,0,4.61,ZA,2022-03-31 01:27:11
282,Bac Lieu,9.285,105.7244,83.98,68,97,8.19,VN,2022-03-31 01:27:12
283,Tevriz,57.509,72.4042,34.97,94,100,15.03,RU,2022-03-31 01:27:12
284,Accra,5.556,-0.1969,84.61,79,20,11.5,GH,2022-03-31 01:27:13
285,Araouane,18.9048,-3.5265,79.84,6,29,2.82,ML,2022-03-31 01:27:13
286,Bay Roberts,47.5999,-53.2648,33.33,84,97,11.01,CA,2022-03-31 01:27:14
287,Krasnoselkup,65.7,82.4667,19.96,90,100,25.32,RU,2022-03-31 01:27:14
288,Ancud,-41.8697,-73.8203,46.47,84,21,5.82,CL,2022-03-31 01:27:15
289,Ardakan,32.31,54.0175,55.67,15,0,3.29,IR,2022-03-31 01:27:15
290,Alofi,-19.0595,-169.9187,84.09,79,75,9.22,NU,2022-03-31 01:24:53
291,Krasnokamensk,50.0979,118.0369,29.79,29,0,11.41,RU,2022-03-31 01:27:16
