City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,San Carlos De Bariloche,AR,-54.8,-68.3,46.06,66,40,4.61,scattered clouds
313,Bolshaya Sosnova,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
314,Andros Town,BS,24.7,-77.7667,75.16,73,5,22.5,clear sky
315,Biltine,ES,39.8885,4.2658,50.56,93,0,3.44,clear sky
316,Ledyard,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
317,Itupiranga,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
318,Soe,ID,-3.8004,102.2655,84.38,66,44,8.41,scattered clouds
319,Yashalta,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
320,Hihifo,TO,-21.2,-175.2,84.36,84,75,11.5,broken clouds
321,Sorong,ID,-3.8004,102.2655,84.38,66,44,8.41,scattered clouds
322,Rio Gallegos,AR,-54.8,-68.3,46.06,66,40,4.61,scattered clouds
323,Tsentralnyy,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
324,Bilibino,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
325,Abohar,IN,23.1167,83.2,91.51,8,9,4.76,clear sky
326,Vanimo,PG,-9.0763,143.2092,85.37,69,68,7.58,broken clouds
327,Darhan,MN,48.8125,103.5347,31.98,35,100,4.36,overcast clouds
328,Sungurlu,TR,37.0833,33.25,40.93,57,40,8.37,scattered clouds
329,Kitimat,CA,51.2167,-102.4677,11.26,96,33,4.94,scattered clouds
330,Collie,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
331,Sistranda,NO,70.8578,29.0864,24.8,70,100,17.96,light snow
332,Nagtipunan,PH,16.2167,121.6,88.5,52,43,3.29,scattered clouds
333,Jinxiang,CN,25.4833,103.7833,58.05,78,90,10.87,overcast clouds
334,Simao,CN,25.4833,103.7833,58.05,78,90,10.87,overcast clouds
335,Mehamn,NO,70.8578,29.0864,24.8,70,100,17.96,light snow
336,Carlagan,PH,16.2167,121.6,88.5,52,43,3.29,scattered clouds
337,Manono,CD,-7.3,27.4167,65.84,96,64,0.49,broken clouds
338,Custoias,PT,39.05,-27.9833,59.86,90,98,6.71,overcast clouds
339,Robertson,ZA,-34.5322,20.0403,59.61,82,100,3.22,overcast clouds
340,Olinda,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
